num_vehicle,num_order,num_city,graph_density,order_canceled
5,1,5,0.3,0
5,1,5,0.4,0
5,1,6,0.3,0
5,1,6,0.4,0
5,1,7,0.3,0
5,1,7,0.4,0
5,1,8,0.3,0
5,1,8,0.4,0
5,1,10,0.3,0
5,1,10,0.4,0
5,2,5,0.3,641
5,2,5,0.4,717
5,2,6,0.3,1142
5,2,6,0.4,523
5,2,7,0.3,513
5,2,7,0.4,670
5,2,8,0.3,890
5,2,8,0.4,829
5,2,10,0.3,672
5,2,10,0.4,896
5,3,5,0.3,1738
5,3,5,0.4,1683
5,3,6,0.3,2616
5,3,6,0.4,1738
5,3,7,0.3,1735
5,3,7,0.4,2185
5,3,8,0.3,2021
5,3,8,0.4,2237
5,3,10,0.3,2153
5,3,10,0.4,2030
5,4,5,0.3,2163
5,4,5,0.4,2825
5,4,6,0.3,3570
5,4,6,0.4,2580
5,4,7,0.3,3365
5,4,7,0.4,3179
5,4,8,0.3,3579
5,4,8,0.4,3072
5,4,10,0.3,3355
5,4,10,0.4,3282
5,5,5,0.3,3720
5,5,5,0.4,4089
5,5,6,0.3,3867
5,5,6,0.4,4235
5,5,7,0.3,4422
5,5,7,0.4,4641
5,5,8,0.3,4800
5,5,8,0.4,4647
5,5,10,0.3,4766
5,5,10,0.4,4641
5,6,5,0.3,5132
5,6,5,0.4,4809
5,6,6,0.3,5295
5,6,6,0.4,5420
5,6,7,0.3,5679
5,6,7,0.4,5266
5,6,8,0.3,5970
5,6,8,0.4,5993
5,6,10,0.3,5843
5,6,10,0.4,6076
5,7,5,0.3,6478
5,7,5,0.4,6454
5,7,6,0.3,6780
5,7,6,0.4,6272
5,7,7,0.3,7031
5,7,7,0.4,6670
5,7,8,0.3,7243
5,7,8,0.4,6942
5,7,10,0.3,7750
5,7,10,0.4,7308
5,8,5,0.3,7818
5,8,5,0.4,7557
5,8,6,0.3,8150
5,8,6,0.4,7930
5,8,7,0.3,8406
5,8,7,0.4,8760
5,8,8,0.3,8414
5,8,8,0.4,8192
5,8,10,0.3,8702
5,8,10,0.4,8679
5,9,5,0.3,9364
5,9,5,0.4,8758
5,9,6,0.3,9942
5,9,6,0.4,9330
5,9,7,0.3,9563
5,9,7,0.4,9631
5,9,8,0.3,10001
5,9,8,0.4,9707
5,9,10,0.3,9963
5,9,10,0.4,10016
5,10,5,0.3,10810
5,10,5,0.4,10680
5,10,6,0.3,10685
5,10,6,0.4,10447
5,10,7,0.3,11028
5,10,7,0.4,10825
5,10,8,0.3,10884
5,10,8,0.4,10893
5,10,10,0.3,11420
5,10,10,0.4,11408
5,11,5,0.3,11511
5,11,5,0.4,11141
5,11,6,0.3,11644
5,11,6,0.4,11520
5,11,7,0.3,12530
5,11,7,0.4,12132
5,11,8,0.3,12309
5,11,8,0.4,12255
5,11,10,0.3,12783
5,11,10,0.4,12771
5,12,5,0.3,12889
5,12,5,0.4,13980
5,12,6,0.3,13107
5,12,6,0.4,13117
5,12,7,0.3,13171
5,12,7,0.4,13493
5,12,8,0.3,13793
5,12,8,0.4,13838
5,12,10,0.3,14013
5,12,10,0.4,13997
5,13,5,0.3,14641
5,13,5,0.4,14520
5,13,6,0.3,14811
5,13,6,0.4,14553
5,13,7,0.3,15164
5,13,7,0.4,15154
5,13,8,0.3,15426
5,13,8,0.4,15048
5,13,10,0.3,15549
5,13,10,0.4,15205
5,14,5,0.3,15595
5,14,5,0.4,15592
5,14,6,0.3,15982
5,14,6,0.4,15921
5,14,7,0.3,15919
5,14,7,0.4,15761
5,14,8,0.3,16653
5,14,8,0.4,16136
5,14,10,0.3,16910
5,14,10,0.4,16778
5,15,5,0.3,16172
5,15,5,0.4,16674
5,15,6,0.3,17476
5,15,6,0.4,16498
5,15,7,0.3,17508
5,15,7,0.4,17393
5,15,8,0.3,18148
5,15,8,0.4,17737
5,15,10,0.3,18598
5,15,10,0.4,18201
5,16,5,0.3,18198
5,16,5,0.4,17639
5,16,6,0.3,19233
5,16,6,0.4,18490
5,16,7,0.3,19321
5,16,7,0.4,18645
5,16,8,0.3,19524
5,16,8,0.4,19399
5,16,10,0.3,19779
5,16,10,0.4,19118
5,17,5,0.3,19580
5,17,5,0.4,20301
5,17,6,0.3,19800
5,17,6,0.4,20051
5,17,7,0.3,20366
5,17,7,0.4,20007
5,17,8,0.3,21008
5,17,8,0.4,20399
5,17,10,0.3,21150
5,17,10,0.4,20942
5,18,5,0.3,21271
5,18,5,0.4,21037
5,18,6,0.3,20770
5,18,6,0.4,21262
5,18,7,0.3,21599
5,18,7,0.4,21368
5,18,8,0.3,21809
5,18,8,0.4,21879
5,18,10,0.3,22412
5,18,10,0.4,22471
5,19,5,0.3,23007
5,19,5,0.4,22684
5,19,6,0.3,22746
5,19,6,0.4,23028
5,19,7,0.3,23985
5,19,7,0.4,23226
5,19,8,0.3,23044
5,19,8,0.4,22923
5,19,10,0.3,23839
5,19,10,0.4,23563
5,20,5,0.3,24738
5,20,5,0.4,23162
5,20,6,0.3,24165
5,20,6,0.4,24438
5,20,7,0.3,25407
